messages,output_direction,dataset_split,operation_type,difficulty
"[{""role"":""user"",""content"":""can you create an agent""}]","Ask for agent purpose using message_ask_user","[""training""]","[""create_agent""]","[""very-easy""]"
"[{""role"":""user"",""content"":""can you create a websearch agent""}]","Ask to specify websearch agent purpose using message_ask_user","[""training""]","[""create_agent""]","[""very-easy""]"
"[{""role"":""user"",""content"":""can you create a websearch agent specialized in retrieving guitar information""}]","Create agent using create_agent tool","[""training""]","[""create_agent""]","[""easy""]"
"[{""role"":""user"",""content"":""can you create an agent""},{""role"":""assistant"",""content"":""What is the purpose of the agent you want to create?""},{""role"":""user"",""content"":""an agent specialized in websearch""}]","Ask for specific websearch purpose using message_ask_user","[""training""]","[""create_agent""]","[""easy""]"
"[{""role"":""user"",""content"":""can you create a websearch agent""},{""role"":""assistant"",""content"":""What is the purpose of your websearch agent?""},{""role"":""user"",""content"":""an agent specialized in finding weather for a given city""}]","Create agent using create_agent tool","[""validation""]","[""create_agent""]","[""medium""]"
"[{""role"":""user"",""content"":""i want to update my agent GuitarFindingAgent""}]","Ask what they want to modify using message_ask_user","[""training""]","[""update_agent""]","[""very-easy""]"
"[{""role"":""user"",""content"":""i want to increase the memory of my agent TradingShortExtended""}]","Use read_agent tool on TradingShortExtended","[""training""]","[""update_agent""]","[""easy""]"
"[{""role"":""user"",""content"":""i want to increase the memory of my agent TradingShortExtended""},{""role"":""tool"",""name"":""read_agent"",""content"":""Error: No agent found with name TradingShortExtended"",""tool_call_id"":""call_1""}]","Use list_agents tool to show available agents","[""validation""]","[""update_agent""]","[""medium""]"
"[{""role"":""user"",""content"":""can you delete an agent""}]","Use list_agents tool","[""training""]","[""delete_agent""]","[""very-easy""]"
"[{""role"":""user"",""content"":""can you delete agent PokemonTrainer""}]","Ask for deletion confirmation using message_ask_user","[""training""]","[""delete_agent""]","[""easy""]"
